"Label (Grouping)","District of Columbia, District of Columbia!!Estimate","District of Columbia, District of Columbia!!Margin of Error","District of Columbia, District of Columbia!!Percent","District of Columbia, District of Columbia!!Percent Margin of Error","Hawaii County, Hawaii!!Estimate","Hawaii County, Hawaii!!Margin of Error","Hawaii County, Hawaii!!Percent","Hawaii County, Hawaii!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","329,687","±4,510","329,687","(X)","76,569","±2,354","76,569","(X)"
"        Married-couple household","82,541","±4,360","25.0%","±1.3","34,682","±2,820","45.3%","±3.3"
"            With children of the householder under 18 years","31,727","±3,029","9.6%","±0.9","9,043","±1,665","11.8%","±2.1"
"        Cohabiting couple household","26,492","±3,273","8.0%","±1.0","7,620","±1,788","10.0%","±2.3"
"            With children of the householder under 18 years","2,752","±1,154","0.8%","±0.3","3,997","±1,405","5.2%","±1.8"
"        Male householder, no spouse/partner present","81,716","±4,639","24.8%","±1.3","13,764","±1,851","18.0%","±2.4"
"            With children of the householder under 18 years","2,509","±1,046","0.8%","±0.3","1,109","±739","1.4%","±1.0"
"            Householder living alone","65,212","±4,274","19.8%","±1.3","9,161","±1,464","12.0%","±2.0"
"                65 years and over","12,099","±1,583","3.7%","±0.5","4,005","±989","5.2%","±1.3"
"        Female householder, no spouse/partner present","138,938","±4,551","42.1%","±1.3","20,503","±1,709","26.8%","±2.2"
"            With children of the householder under 18 years","22,258","±3,506","6.8%","±1.1","3,947","±1,128","5.2%","±1.5"
"            Householder living alone","89,713","±5,082","27.2%","±1.4","10,884","±1,482","14.2%","±1.9"
"                65 years and over","22,770","±2,095","6.9%","±0.6","6,574","±1,234","8.6%","±1.6"
"        Households with one or more people under 18 years","65,036","±4,589","19.7%","±1.4","21,739","±2,163","28.4%","±2.5"
"        Households with one or more people 65 years and over","69,700","±1,905","21.1%","±0.6","35,401","±1,388","46.2%","±1.6"
"        Average household size","2.02","±0.03","(X)","(X)","2.71","±0.08","(X)","(X)"
"        Average family size","3.01","±0.08","(X)","(X)","3.15","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","664,748","*****","664,748","(X)","207,421","±232","207,421","(X)"
"        Householder","329,687","±4,510","49.6%","±0.7","76,569","±2,354","36.9%","±1.1"
"        Spouse","82,236","±4,224","12.4%","±0.6","35,224","±2,629","17.0%","±1.3"
"        Unmarried partner","26,843","±3,385","4.0%","±0.5","7,048","±1,575","3.4%","±0.8"
"        Child","152,795","±6,362","23.0%","±1.0","50,567","±2,914","24.4%","±1.4"
"        Other relatives","41,125","±6,433","6.2%","±1.0","21,829","±4,011","10.5%","±1.9"
"        Other nonrelatives","32,062","±4,439","4.8%","±0.7","16,184","±3,185","7.8%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","276,010","±833","276,010","(X)","84,652","±512","84,652","(X)"
"        Never married","148,561","±4,132","53.8%","±1.5","30,943","±1,800","36.6%","±2.1"
"        Now married, except separated","97,082","±4,831","35.2%","±1.7","39,335","±2,588","46.5%","±3.0"
"        Separated","5,548","±1,444","2.0%","±0.5","1,176","±524","1.4%","±0.6"
"        Widowed","6,619","±1,582","2.4%","±0.6","3,004","±935","3.5%","±1.1"
"        Divorced","18,200","±2,421","6.6%","±0.9","10,194","±1,663","12.0%","±2.0"
"    Females 15 years and over","314,568","±871","314,568","(X)","89,933","±512","89,933","(X)"
"        Never married","176,867","±5,699","56.2%","±1.8","26,855","±1,869","29.9%","±2.1"
"        Now married, except separated","86,190","±4,792","27.4%","±1.5","40,181","±2,885","44.7%","±3.2"
"        Separated","4,297","±1,520","1.4%","±0.5","1,469","±794","1.6%","±0.9"
"        Widowed","18,429","±2,300","5.9%","±0.7","9,118","±1,541","10.1%","±1.7"
"        Divorced","28,785","±3,338","9.2%","±1.1","12,310","±1,976","13.7%","±2.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","8,289","±2,061","8,289","(X)","2,457","±1,004","2,457","(X)"
"        Unmarried women (widowed, divorced, and never married)","2,951","±1,372","35.6%","±12.1","1,236","±800","50.3%","±19.6"
"            Per 1,000 unmarried women","19","±9","(X)","(X)","47","±30","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","39","±10","(X)","(X)","55","±22","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","2","±4","(X)","(X)","0","±23","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","31","±12","(X)","(X)","98","±51","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","56","±17","(X)","(X)","42","±24","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","N","N","N","N","5,591","±1,432","5,591","(X)"
"        Grandparents responsible for grandchildren","N","N","N","N","1,600","±827","28.6%","±12.4"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","N","N","N","N","0","±193","0.0%","±2.7"
"            1 or 2 years","N","N","N","N","702","±544","12.6%","±9.0"
"            3 or 4 years","N","N","N","N","0","±193","0.0%","±2.7"
"            5 or more years","N","N","N","N","898","±629","16.1%","±10.5"
"    Number of grandparents responsible for own grandchildren under 18 years","N","N","N","N","1,600","±827","1,600","(X)"
"        Who are female","2,385","±1,208","N","N","1,146","±620","71.6%","±14.1"
"        Who are married","1,855","±1,470","N","N","1,180","±750","73.8%","±27.3"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","166,818","±4,657","166,818","(X)","44,131","±2,276","44,131","(X)"
"        Nursery school, preschool","15,274","±2,804","9.2%","±1.6","1,610","±590","3.6%","±1.3"
"        Kindergarten","8,567","±2,215","5.1%","±1.4","3,106","±959","7.0%","±2.2"
"        Elementary school (grades 1-8)","54,571","±2,641","32.7%","±1.8","19,732","±1,389","44.7%","±3.6"
"        High school (grades 9-12)","27,126","±2,806","16.3%","±1.6","8,984","±1,126","20.4%","±2.5"
"        College or graduate school","61,280","±3,574","36.7%","±1.6","10,699","±2,068","24.2%","±3.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","501,372","±678","501,372","(X)","152,559","±865","152,559","(X)"
"        Less than 9th grade","15,911","±3,376","3.2%","±0.7","2,571","±836","1.7%","±0.5"
"        9th to 12th grade, no diploma","24,435","±3,563","4.9%","±0.7","6,706","±1,366","4.4%","±0.9"
"        High school graduate (includes equivalency)","71,626","±6,110","14.3%","±1.2","46,904","±4,234","30.7%","±2.7"
"        Some college, no degree","51,090","±5,275","10.2%","±1.1","30,951","±3,182","20.3%","±2.1"
"        Associate's degree","10,087","±2,289","2.0%","±0.5","16,618","±2,039","10.9%","±1.3"
"        Bachelor's degree","136,032","±6,670","27.1%","±1.3","29,858","±3,271","19.6%","±2.2"
"        Graduate or professional degree","192,191","±6,780","38.3%","±1.4","18,951","±2,263","12.4%","±1.5"
"        High school graduate or higher","461,026","±4,924","92.0%","±1.0","143,282","±1,721","93.9%","±1.0"
"        Bachelor's degree or higher","328,223","±7,422","65.5%","±1.5","48,809","±3,874","32.0%","±2.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","567,764","±1,218","567,764","(X)","166,905","±390","166,905","(X)"
"        Civilian veterans","17,844","±2,220","3.1%","±0.4","10,801","±1,509","6.5%","±0.9"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","691,979","±1,217","691,979","(X)","208,424","±371","208,424","(X)"
"        With a disability","87,510","±7,339","12.6%","±1.1","35,943","±3,367","17.2%","±1.6"
"    Under 18 years","129,757","±48","129,757","(X)","42,498","±95","42,498","(X)"
"        With a disability","6,465","±2,819","5.0%","±2.2","2,450","±937","5.8%","±2.2"
"    18 to 64 years","473,864","±1,226","473,864","(X)","113,919","±479","113,919","(X)"
"        With a disability","51,481","±5,781","10.9%","±1.2","16,051","±2,506","14.1%","±2.2"
"    65 years and over","88,358","±294","88,358","(X)","52,007","±254","52,007","(X)"
"        With a disability","29,564","±2,479","33.5%","±2.8","17,442","±1,970","33.5%","±3.8"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","694,818","±1,928","694,818","(X)","207,756","±769","207,756","(X)"
"        Same house","556,211","±10,712","80.1%","±1.6","187,639","±3,332","90.3%","±1.6"
"        Different house (in the U.S. or abroad)","138,607","±10,944","19.9%","±1.6","20,117","±3,276","9.7%","±1.6"
"            Different house in the U.S.","129,572","±10,557","18.6%","±1.5","18,506","±3,327","8.9%","±1.6"
"                Same county","75,781","±9,529","10.9%","±1.4","10,762","±2,355","5.2%","±1.1"
"                Different county","53,791","±5,438","7.7%","±0.8","7,744","±2,396","3.7%","±1.2"
"                    Same state","0","±247","0.0%","±0.1","1,693","±980","0.8%","±0.5"
"                    Different state","53,791","±5,438","7.7%","±0.8","6,051","±2,089","2.9%","±1.0"
"            Abroad","9,035","±2,213","1.3%","±0.3","1,611","±941","0.8%","±0.5"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","702,250","*****","702,250","(X)","209,790","*****","209,790","(X)"
"        Native","593,708","±6,954","84.5%","±1.0","183,998","±3,350","87.7%","±1.6"
"            Born in United States","579,997","±7,196","82.6%","±1.0","177,939","±4,112","84.8%","±2.0"
"                State of residence","244,379","±8,304","34.8%","±1.2","111,062","±4,198","52.9%","±2.0"
"                Different state","335,618","±8,372","47.8%","±1.2","66,877","±2,857","31.9%","±1.4"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","13,711","±2,308","2.0%","±0.3","6,059","±2,451","2.9%","±1.2"
"        Foreign-born","108,542","±6,954","15.5%","±1.0","25,792","±3,350","12.3%","±1.6"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","108,542","±6,954","108,542","(X)","25,792","±3,350","25,792","(X)"
"        Naturalized U.S. citizen","47,824","±4,247","44.1%","±3.3","10,937","±1,911","42.4%","±6.6"
"        Not a U.S. citizen","60,718","±5,720","55.9%","±3.3","14,855","±2,871","57.6%","±6.6"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","122,253","±7,196","122,253","(X)","31,851","±4,112","31,851","(X)"
"        Native","13,711","±2,308","13,711","(X)","6,059","±2,451","6,059","(X)"
"            Entered 2010 or later","4,953","±1,657","36.1%","±9.7","3,136","±1,836","51.8%","±13.6"
"            Entered before 2010","8,758","±1,864","63.9%","±9.7","2,923","±1,026","48.2%","±13.6"
"        Foreign-born","108,542","±6,954","108,542","(X)","25,792","±3,350","25,792","(X)"
"            Entered 2010 or later","50,130","±5,288","46.2%","±3.3","10,751","±2,697","41.7%","±8.5"
"            Entered before 2010","58,412","±4,662","53.8%","±3.3","15,041","±2,760","58.3%","±8.5"
"WORLD REGION OF BIRTH OF FOREIGN-BORN","","","","","","","",""
